"","player_api_id","player_fifa_api_id.x","player_name","birthday","overall_rating","gk_total","n_appearances","n_leagues"
"1","505942","218353","Aaron Appindangoye","1992-02-29 00:00:00","67","43","8","1"
"2","155782","189615","Aaron Cresswell","1989-12-15 00:00:00","74","51","75","1"
"3","162549","186170","Aaron Doran","1991-05-13 00:00:00","71","56","104","1"
"4","30572","140161","Aaron Galindo","1982-05-08 00:00:00","75","111","10","1"
"5","23780","17725","Aaron Hughes","1979-11-08 00:00:00","78","129","162","1"
"6","27316","158138","Aaron Hunt","1986-09-04 00:00:00","79","60","158","1"
"7","564793","221280","Aaron Kuhl","1996-01-30 00:00:00","61","64","5","1"
"8","30895","152747","Aaron Lennon","1987-04-16 00:00:00","84","146","181","1"
"9","528212","206592","Aaron Lennox","1993-02-19 00:00:00","48","237","1","1"
"10","101042","188621","Aaron Meijers","1987-10-28 00:00:00","69","54","167","1"
"11","23889","47189","Aaron Mokoena","1980-11-25 00:00:00","75","154","30","1"
"12","231592","194958","Aaron Mooy","1990-09-15 00:00:00","75","54","10","1"
"13","163222","213568","Aaron Muirhead","1990-08-30 00:00:00","63","38","21","1"
"14","40719","183853","Aaron Niguez","1989-04-26 00:00:00","71","61","27","2"
"15","75489","186561","Aaron Ramsey","1990-12-26 00:00:00","83","40","133","1"
"16","597948","226014","Aaron Splaine","1996-10-13 00:00:00","55","55","2","1"
"17","161644","213569","Aaron Taylor-Sinclair","1991-04-08 00:00:00","65","49","36","1"
"18","23499","2335","Aaron Wilbraham","1979-10-21 00:00:00","67","54","3","1"
"19","120919","187939","Aatif Chahechouhe","1986-07-02 00:00:00","77","50","1","1"
"20","46447","156626","Abasse Ba","1976-07-12 00:00:00","68","111","16","1"
"21","167027","192274","Abdelaziz Barrada","1989-06-19 00:00:00","76","42","75","2"
"22","245653","202425","Abdelfettah Boukhriss","1986-10-22 00:00:00","64","51","1","1"
"23","128456","188145","Abdelhamid El Kaoutari","1990-03-17 00:00:00","73","47","144","2"
"24","42664","178063","Abdelkader Ghezzal","1984-12-05 00:00:00","73","40","90","2"
"25","425950","212934","Abdellah Zoubir","1991-12-05 00:00:00","59","62","3","1"
"26","38423","52782","Abdelmajid Oulmers","1978-09-12 00:00:00","70","129","32","1"
"27","3264","51868","Abdelmalek Cherrad","1981-01-14 00:00:00","62","49","1","1"
"28","467485","209399","Abdelmalek El Hasnaoui","1994-02-09 00:00:00","63","52","5","1"
"29","306735","210504","Abdelouahed Chakhsi","1986-10-01 00:00:00","56","46","74","1"
"30","41659","149241","Abderrazak Jadid","1983-06-01 00:00:00","71","59","29","2"
"31","31684","33022","Abdeslam Ouaddou","1978-11-01 00:00:00","78","150","43","1"
"32","32637","177295","Abdessalam Benjelloun","1985-01-28 00:00:00","72","102","11","2"
"33","563215","225711","Abdou Diallo","1996-05-04 00:00:00","66","41","28","2"
"34","41093","187048","Abdou Traore","1988-01-17 00:00:00","71","57","59","1"
"35","564712","225050","Abdoul Ba","1994-02-08 00:00:00","64","60","4","1"
"36","67334","188232","Abdoul Karim Yoda","1988-10-25 00:00:00","72","58","54","2"
"37","173955","193953","Abdoul Razzagui Camara","1990-02-20 00:00:00","72","68","45","1"
"38","39562","161999","Abdoulay Konko","1984-03-09 00:00:00","79","62","137","2"
"39","191784","204826","Abdoulaye Ba","1991-01-01 00:00:00","73","65","58","2"
"40","210400","199313","Abdoulaye Bamba","1990-04-25 00:00:00","69","50","21","1"
"41","201915","202330","Abdoulaye Diaby","1991-05-21 00:00:00","73","50","37","1"
"42","194479","204171","Abdoulaye Diallo Sadio,22","1990-12-28 00:00:00","74","52","41","1"
"43","189181","197233","Abdoulaye Diallo","1992-03-30 00:00:00","69","341","9","1"
"44","352887","208135","Abdoulaye Doucoure","1993-01-01 00:00:00","73","68","71","2"
"45","40005","100329","Abdoulaye Faye","1978-02-26 00:00:00","76","55","81","1"
"46","409003","212280","Abdoulaye Keita","1994-01-05 00:00:00","60","54","3","1"
"47","37280","41745","Abdoulaye Meite","1980-10-06 00:00:00","79","135","53","2"
"48","439366","210450","Abdoulaye Toure","1994-03-03 00:00:00","64","48","2","1"
"49","148827","189568","Abdoulwahid Sissoko","1990-03-20 00:00:00","69","49","50","2"
"50","173011","197901","Abdourahman Dampha","1991-12-27 00:00:00","63","45","24","1"
"51","419681","190193","Abdul Aziz Tetteh","1989-02-10 00:00:00","67","60","19","1"
"52","196947","198420","Abdul Majeed Waris","1991-09-19 00:00:00","74","10","36","1"
"53","89405","184768","Abdul Osman","1987-02-27 00:00:00","66","51","66","1"
"54","324910","209620","Abdul Rahman Baba","1994-07-02 00:00:00","78","50","58","2"
"55","67952","180316","Abdul-Yakinu Iddi","1986-05-25 00:00:00","66","49","48","1"
"56","31012","157191","Abdulkader Keita","1981-08-06 00:00:00","82","43","13","1"
"57","176301","210766","Abdulla Fatadi","1985-11-02 00:00:00","57","60","8","1"
"58","307227","207716","Abdullah Al Hafith","1992-12-25 00:00:00","65","49","5","1"
"59","176302","192670","Abdullah Omar","1987-01-01 00:00:00","62","55","52","1"
"60","525595","229026","Abdullahi Shehu","1993-03-12 00:00:00","71","65","26","1"
"61","24385","177974","Abel Aguilar","1985-01-06 00:00:00","77","50","134","3"
"62","29904","111085","Abel Gomez","1982-02-20 00:00:00","73","51","40","1"
"63","105548","188484","Abel Hernandez","1990-08-08 00:00:00","78","43","57","2"
"64","172875","208005","Abel Issa Camara","1990-01-06 00:00:00","69","45","33","1"
"65","302985","207541","Abel Khaled","1992-11-09 00:00:00","61","63","3","1"
"66","240556","202153","Abel Tamata","1990-12-05 00:00:00","69","40","47","1"
"67","40938","17880","Abel","1978-12-22 00:00:00","73","42","35","1"
"68","37422","159580","Abella Perez Damia","1982-04-15 00:00:00","74","65","127","1"
"69","114503","187175","Abiola Dauda","1988-02-03 00:00:00","69","58","22","2"
"70","27277","163423","Abou Diaby","1986-05-11 00:00:00","79","49","67","2"
"71","181344","138675","Aboubacar Tandia","1983-10-05 00:00:00","62","39","4","1"
"72","581141","225541","Aboubakar Kamara","1995-03-07 00:00:00","61","50","3","1"
"73","80592","218548","Aboubakar Oumarou","1987-04-01 00:00:00","68","50","18","1"
"74","165706","159566","Abraham Gonzalez","1985-07-16 00:00:00","73","45","42","1"
"75","210453","199724","Abraham Guie Gneki","1986-07-25 00:00:00","70","44","14","2"
"76","208635","202600","Abraham Kudemor","1985-02-25 00:00:00","65","56","20","1"
"77","213695","198840","Abraham Minero","1986-02-22 00:00:00","73","51","66","1"
"78","33715","114663","Abraham Paz Cruz","1979-03-14 00:00:00","75","48","29","1"
"79","41489","163901","Achille Coser","1982-07-14 00:00:00","61","300","2","1"
"80","25571","112392","Achille Emana","1982-06-05 00:00:00","79","143","32","1"
"81","660145","229149","Achille Vaarnold","1996-01-26 00:00:00","62","47","1","1"
"82","45960","171405","Achmed Ahahaoui","1983-12-06 00:00:00","67","41","53","1"
"83","293235","206161","Achraf Lazaar","1992-09-22 00:00:00","73","53","53","1"
"84","34487","140730","Aco Stojkov","1983-04-29 00:00:00","60","120","23","1"
"85","26331","158505","Adailton","1983-04-14 00:00:00","75","118","75","1"
"86","41749","4769","Adailton","1977-01-24 00:00:00","73","141","37","1"
"87","495841","231638","Adalberto Penaranda","1997-05-31 00:00:00","72","47","21","1"
"88","519835","221841","Adam Armstrong","1997-02-10 00:00:00","67","55","1","1"
"89","68840","189047","Adam Banas","1982-12-25 00:00:00","66","45","99","1"
"90","27534","177129","Adam Bodzek","1985-09-07 00:00:00","72","54","29","1"
"91","157303","184585","Adam Bogdan","1987-09-27 00:00:00","73","363","25","1"
"92","563198","224355","Adam Brown","1995-06-09 00:00:00","52","57","1","1"
"93","557396","224438","Adam Buksa","1996-07-12 00:00:00","62","50","4","1"
"94","365666","206567","Adam Campbell","1995-01-01 00:00:00","62","58","7","1"
"95","180197","53363","Adam Collin","1984-12-09 00:00:00","66","323","3","1"
"96","310346","200743","Adam Cummins","1993-03-03 00:00:00","59","45","19","1"
"97","68962","180440","Adam Danch","1987-12-15 00:00:00","68","51","143","1"
"98","429870","212988","Adam Deja","1993-06-24 00:00:00","62","56","46","1"
"99","23133","101882","Adam Drury","1978-08-29 00:00:00","72","113","12","1"
"100","420209","205162","Adam Drury","1993-09-09 00:00:00","57","53","10","1"
"101","308280","208345","Adam Duda","1991-04-29 00:00:00","60","51","7","1"
"102","361712","211362","Adam Dzwigala","1995-09-25 00:00:00","60","56","29","1"
"103","38617","164853","Adam Federici","1985-01-31 00:00:00","73","371","27","1"
"104","173993","209453","Adam Fraczczak","1987-08-07 00:00:00","68","50","108","1"
"105","277313","209439","Adam Gyurcso","1991-03-06 00:00:00","69","46","8","1"
"106","40568","169568","Adam Hammill","1988-01-25 00:00:00","73","35","10","1"
"107","281079","205485","Adam Henley","1994-06-14 00:00:00","67","47","4","1"
"108","89240","181205","Adam Hlousek","1988-12-20 00:00:00","72","48","80","2"
"109","24159","165740","Adam Johnson","1987-07-14 00:00:00","82","48","146","1"
"110","414208","212388","Adam King","1995-10-11 00:00:00","57","55","2","1"
"111","43317","174665","Adam Kokoszka","1986-10-06 00:00:00","67","55","95","1"
"112","37234","180819","Adam Lallana","1988-05-10 00:00:00","80","54","109","1"
"113","24952","163828","Adam Le Fondre","1986-12-02 00:00:00","73","38","11","1"
"114","209372","200223","Adam Maher","1993-07-20 00:00:00","78","43","120","1"
"115","69518","179055","Adam Marciniak","1988-09-28 00:00:00","62","52","103","1"
"116","478447","224031","Adam Marusic","1992-10-17 00:00:00","69","44","49","1"
"117","500502","225410","Adam Masina","1994-01-02 00:00:00","73","54","30","1"
"118","170593","193768","Adam Matthews","1992-01-13 00:00:00","74","53","89","1"
"119","185336","192471","Adam Matuschyk","1989-02-14 00:00:00","72","57","31","1"
"120","69249","179710","Adam Mojta","1986-06-30 00:00:00","66","58","52","1"
"121","407308","205864","Adam Morgan","1994-04-21 00:00:00","64","46","1","1"
"122","12245","184433","Adam Nemec","1985-09-02 00:00:00","70","58","12","3"
"123","684978","231242","Adam Ounas","1996-11-11 00:00:00","69","41","15","1"
"124","306507","211185","Adam Pazio","1992-09-27 00:00:00","64","63","60","1"
"125","73078","201176","Adam Pinter","1988-06-12 00:00:00","72","54","34","1"
"126","31916","176941","Adam Rooney","1988-04-21 00:00:00","71","53","114","1"
"127","555649","224303","Adam Ryczkowski","1997-04-30 00:00:00","56","49","7","1"
"128","158861","192323","Adam Sarota","1988-12-28 00:00:00","68","51","35","1"
"129","160447","190885","Adam Smith","1991-04-29 00:00:00","70","47","22","1"
"130","36774","184789","Adam Szalai","1987-12-09 00:00:00","77","52","94","1"
"131","243068","202676","Adam Taggart","1993-06-02 00:00:00","68","60","4","1"
"132","71359","170046","Adam Vass","1988-09-09 00:00:00","68","53","15","1"
"133","495942","219695","Adam Waszkiewicz","1993-12-06 00:00:00","52","48","15","1"
"134","287224","205947","Adama Ba","1993-08-27 00:00:00","66","53","8","1"
"135","26136","5440","Adama Coulibaly","1980-09-10 00:00:00","78","60","109","1"
"136","164360","194952","Adama Francois","1989-11-30 00:00:00","67","42","43","1"
"137","357881","200353","Adama Soumaoro","1992-06-18 00:00:00","68","54","30","1"
"138","181211","193177","Adama Traore","1990-02-03 00:00:00","75","55","39","2"
"139","533212","225151","Adama Traore","1995-06-28 00:00:00","68","50","14","1"
"140","103866","184368","Adamo Coulibaly","1981-08-14 00:00:00","73","42","28","1"
"141","47394","179605","Adel Taarabt","1989-05-24 00:00:00","80","46","71","2"
"142","155738","190544","Adem Ljajic","1991-09-29 00:00:00","81","45","103","1"
"143","361710","213374","Aderlan Santos","1989-04-09 00:00:00","80","56","83","2"
"144","568920","223844","Aderlan","1990-08-18 00:00:00","67","53","33","1"
"145","45816","185171","Adil Auassar","1986-10-06 00:00:00","66","53","105","1"
"146","37249","177615","Adil Chihi","1988-02-21 00:00:00","73","42","31","1"
"147","40012","177713","Adil Hermach","1986-06-27 00:00:00","71","56","67","1"
"148","77741","183280","Adil Rami","1985-12-27 00:00:00","84","47","225","3"
"149","38612","2115","Adil Ramzi","1977-07-14 00:00:00","67","47","37","1"
"150","164115","200794","Adilson","1982-01-01 00:00:00","68","60","9","1"
"151","276701","212107","Adis Jahovic","1987-03-18 00:00:00","70","56","5","1"
"152","131409","183385","Adlene Guedioura","1985-11-12 00:00:00","71","54","40","2"
"153","116788","190714","Admir Aganovic","1986-08-25 00:00:00","61","55","11","2"
"154","132844","188770","Admir Mehmedi","1991-03-16 00:00:00","77","66","113","2"
"155","45815","156656","Adnan Alisic","1984-02-10 00:00:00","61","45","5","1"
"156","39875","159339","Adnan Custovic","1978-04-16 00:00:00","69","58","41","1"
"157","449241","208330","Adnan Januzaj","1995-02-05 00:00:00","75","55","24","1"
"158","43049","139305","Adnan Mravac","1982-04-10 00:00:00","68","123","43","1"
"159","261599","203377","Adnane Tighadouini","1992-11-30 00:00:00","74","48","38","2"
"160","154950","189658","Adrian Basta","1988-12-01 00:00:00","65","62","43","1"
"161","182107","194769","Adrian Blad","1991-04-16 00:00:00","62","58","21","1"
"162","121643","186629","Adrian Chomiuk","1988-06-23 00:00:00","52","46","17","1"
"163","102572","171732","Adrian Colunga","1984-11-17 00:00:00","76","38","101","1"
"164","43348","152920","Adrian Cristea","1983-11-30 00:00:00","65","47","2","1"
"165","113604","206628","Adrian Daniel Calello","1987-05-14 00:00:00","61","56","8","1"
"166","482331","219953","Adrian Embarba","1992-05-07 00:00:00","73","50","28","1"
"167","40501","178616","Adrian Gonzalez","1988-05-25 00:00:00","73","46","132","1"
"168","178574","193600","Adrian Gunino","1989-02-03 00:00:00","69","48","50","2"
"169","78537","165003","Adrian Klepczynski","1981-04-01 00:00:00","62","53","105","1"
"170","45744","173818","Adrian Lopez","1988-01-08 00:00:00","81","55","135","2"
"171","23358","172953","Adrian Mariappa","1986-10-03 00:00:00","73","47","63","1"
"172","571685","224921","Adrian Marin","1997-01-09 00:00:00","72","53","14","1"
"173","105526","148572","Adrian Mrowiec","1983-12-01 00:00:00","64","52","86","2"
"174","39311","184410","Adrian Mutu","1979-08-01 00:00:00","85","50","105","2"
"175","112976","187850","Adrian Nikci","1989-11-10 00:00:00","68","40","55","2"
"176","116881","188910","Adrian Paluchowski","1987-08-19 00:00:00","61","117","9","1"
"177","239253","201170","Adrian Rakowski","1990-10-07 00:00:00","63","41","36","1"
"178","50345","176619","Adrian Ramos","1986-01-22 00:00:00","79","51","95","1"
"179","323385","211267","Adrian Ricardo Centurion","1993-01-19 00:00:00","74","39","5","1"
"180","42431","169383","Adrian Ricchiuti","1978-06-30 00:00:00","75","44","50","1"
